movie_id,title,genre,emotion_tags,BA,duration
57,58. Spider-Man: Into the Spider-Verse (2018),"Animation, Action, Adventure",Rire,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DeGDqpAM6Gyk&ved=2ahUKEwjkuYbw0uiKAxWuUKQEHSXeD8UQtwJ6BAgNEAI&usg=AOvVaw1B25onFiH7Ri4wZdvNLoGE,117
58,59. Avengers: Endgame (2019),"Action, Adventure, Drama",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DwV-Q0o2OQjQ&ved=2ahUKEwiH9__00uiKAxWyTaQEHbNIMe4QtwJ6BAgOEAI&usg=AOvVaw1bRGr-gsVCcznoaGGDICMN,181
59,60. Avengers: Infinity War (2018),"Action, Adventure, Sci-Fi",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DeIWs2IUr3Vs&ved=2ahUKEwjElab60uiKAxX9RKQEHWFBMFEQtwJ6BAgQEAI&usg=AOvVaw1Dd8tSyQNq7LgUmQuuLAdW,149
60,61. Coco (I) (2017),"Animation, Adventure, Family",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DN3chVJm1XYI&ved=2ahUKEwiIxb7_0uiKAxXEKvsDHXEEGk0QwqsBegQIDRAG&usg=AOvVaw3DIuapXx6z0Lm5yv88Tlts,105
61,62. Django Unchained (2012),"Drama, Western",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DK2XjgsfzDrU&ved=2ahUKEwiajpyF0-iKAxVfTaQEHTikNaMQtwJ6BAgOEAI&usg=AOvVaw1sHyM3pQXbII60130q6qeN,165
62,63. The Dark Knight Rises (2012),"Action, Adventure",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DOiqPQ7L_C00&ved=2ahUKEwjIh8SP0-iKAxUAU6QEHePSIzMQtwJ6BAgOEAI&usg=AOvVaw268W1X98cIboR6nDYFolXj,164
63,64. 3 Idiots (2009),"Comedy, Drama",Rire,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DK0eDlFX9GMc&ved=2ahUKEwjF5o6U0-iKAxU5Q6QEHe4TGu0QtwJ6BAgPEAI&usg=AOvVaw1122VBIyDFUYxsoZMo_A4P,170
64,65. Like Stars on Earth (2007),"Drama, Family",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DDBg6HSMF9X8&ved=2ahUKEwjctf-a0-iKAxXDUaQEHcnNObwQtwJ6BAgQEAI&usg=AOvVaw3hHvFKcgxXRIe3-rnaByM3,165
65,66. WALL·E (2008),"Animation, Adventure, Family",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DtwS3hYLmQI4&ved=2ahUKEwi69Meg0-iKAxW_VqQEHbCxNT0QtwJ6BAgPEAI&usg=AOvVaw1d2gj9xdFGU2FI1pa8xojB,98
66,67. The Lives of Others (2006),"Drama, Mystery, Thriller",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DoxjGvkyPKqk&ved=2ahUKEwjIwa-n0-iKAxUcVaQEHcfgNxcQtwJ6BAgOEAI&usg=AOvVaw1sE0NAtixLVZj1BNbs79zW,137
67,68. Oldboy (2003),"Action, Drama, Mystery",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3Df_1HU5x0bbA&ved=2ahUKEwiKv4qs0-iKAxVPVaQEHTBgAqwQtwJ6BAgNEAI&usg=AOvVaw2Yxa59qOR3v85FI-r7kCR0,120
68,69. Memento (2000),"Mystery, Thriller",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DFUDcRwJyOzQ&ved=2ahUKEwietO-w0-iKAxWeQ6QEHbT6B_4QtwJ6BAgIEAI&usg=AOvVaw0DXNtMEeI3NBZwZ9sfOsXC,113
